t,ax,ay,az,gx,gy,gz
23528244.0,-0.02,0.0044,-1.063,0.034,-0.09,0.588
23541244.0,-0.0161,-0.002,-1.0601,0.034,0.032,0.649
23554244.0,-0.0176,0.0068,-1.0601,0.156,0.032,0.588
23567244.0,-0.021,0.0054,-1.0625,0.095,-0.151,1.015
23580244.0,-0.0186,0.0024,-1.063,0.034,0.154,0.649
23593244.0,-0.0186,0.0015,-1.0571,0.034,-0.029,0.466
23606244.0,-0.02,0.0024,-1.062,-0.027,0.032,0.649
23619244.0,-0.021,0.0063,-1.0552,-0.149,-0.273,0.588
23632244.0,-0.0229,0.0029,-1.0669,0.095,0.093,0.771
23645244.0,-0.0205,0.0034,-1.0625,0.095,0.154,0.649
23658244.0,-0.019,0.0034,-1.0605,-0.21,-0.029,0.588
23671244.0,-0.0176,0.0044,-1.0659,0.218,-0.151,0.954
23684244.0,-0.022,0.002,-1.0586,-0.149,-0.09,0.832
23697244.0,-0.0171,0.0005,-1.0654,-0.027,-0.029,0.649
23710244.0,-0.021,0.0054,-1.0601,-0.027,-0.029,0.71
23723244.0,-0.02,0.0093,-1.0571,0.095,0.093,0.527
23736244.0,-0.0225,0.001,-1.062,0.156,0.093,0.527
23749244.0,-0.0229,0.0034,-1.0669,0.034,0.032,0.832
23762244.0,-0.0181,0.0044,-1.0679,0.095,0.093,0.649
23775244.0,-0.0181,0.0039,-1.0581,-0.21,-0.212,0.71
23788244.0,-0.0161,0.0034,-1.0615,0.218,0.276,0.405
23801244.0,-0.0176,0.0044,-1.0625,-0.149,0.032,0.649
23814244.0,-0.0151,0.0015,-1.0635,-0.271,-0.212,0.71
23827244.0,-0.0181,0.0083,-1.0605,0.034,-0.029,0.771
23840244.0,-0.0186,0.0034,-1.0674,-0.149,0.093,0.71
23853244.0,-0.0171,0.0059,-1.0552,-0.027,-0.09,0.466
23866244.0,-0.019,0.0034,-1.0645,-0.088,0.032,0.71
23879244.0,-0.0161,0.0034,-1.064,0.156,-0.273,0.466
23892244.0,-0.02,0.0034,-1.063,-0.027,-0.09,0.771
23905244.0,-0.019,0.002,-1.0566,0.218,-0.029,0.771
23918244.0,-0.0195,0.0034,-1.0674,0.095,0.276,0.649
23931244.0,-0.0229,0.0034,-1.0557,-0.027,-0.273,0.71
23944244.0,-0.0181,0.0,-1.0688,-0.027,-0.212,0.466
23957244.0,-0.019,0.0063,-1.0625,-0.21,-0.029,0.71
23970244.0,-0.02,0.0054,-1.0635,0.095,0.093,0.649
23983244.0,-0.0225,0.0078,-1.064,-0.027,0.032,0.893
23996244.0,-0.0205,0.002,-1.0581,0.095,0.032,0.771
24009244.0,-0.019,0.0024,-1.0674,0.279,-0.151,0.771
24022244.0,-0.0234,0.0039,-1.0615,-0.149,-0.09,0.527
24035244.0,-0.0171,0.0,-1.0601,-0.027,-0.151,0.771
24048244.0,-0.0186,0.0034,-1.0615,0.034,-0.151,0.649
24061244.0,-0.0176,0.0039,-1.0625,-0.088,-0.151,0.71
24074244.0,-0.019,0.0049,-1.0586,0.034,0.032,0.832
24087244.0,-0.0195,0.0024,-1.0649,-0.149,0.032,0.954
24100244.0,-0.0166,0.0029,-1.0601,-0.088,-0.334,0.466
24113244.0,-0.0205,0.0029,-1.0688,0.034,0.032,0.71
24126244.0,-0.0176,0.0024,-1.063,-0.027,-0.334,0.405
24139244.0,-0.0215,0.0024,-1.061,0.034,-0.029,0.588
24152244.0,-0.019,0.001,-1.0605,0.034,0.215,0.649
24165244.0,-0.022,0.0068,-1.0625,-0.088,-0.151,0.649
24178244.0,-0.019,0.0039,-1.063,0.034,-0.212,0.71
24191244.0,-0.0156,0.001,-1.062,-0.027,-0.029,0.466
24204244.0,-0.0195,0.0044,-1.063,0.156,-0.151,0.649
24217244.0,-0.0195,-0.001,-1.0635,-0.027,-0.212,0.832
24230244.0,-0.02,0.0063,-1.0649,-0.088,0.215,0.893
24243244.0,-0.0229,0.001,-1.064,0.034,0.154,0.344
24256244.0,-0.0205,0.002,-1.0586,0.034,0.154,0.893
24269244.0,-0.019,0.0039,-1.0591,-0.271,-0.151,0.71
24282244.0,-0.0205,0.0039,-1.0635,-0.149,-0.09,0.771
24295244.0,-0.02,0.0024,-1.0659,0.156,0.093,0.71
24308244.0,-0.0195,0.0039,-1.0708,0.095,-0.273,0.71
24321244.0,-0.0205,0.0059,-1.0664,-0.271,-0.029,0.466
24334244.0,-0.0186,0.0073,-1.0645,0.095,0.093,0.71
24347244.0,-0.022,0.0059,-1.0586,-0.21,-0.09,0.771
24360244.0,-0.0132,0.0063,-1.0659,-0.271,0.093,0.649
