t,ax,ay,az,gx,gy,gz
788201245,0.0874,-0.0117,-1.0571,0.201,0.005,-0.000
788214245,0.0937,-0.0078,-1.0581,-0.165,0.067,0.061
788227245,0.0947,-0.0103,-1.0586,-0.104,-0.056,0.122
788240245,0.0903,-0.0132,-1.0542,-0.104,-0.117,-0.061
788253245,0.0894,-0.0146,-1.0562,-0.043,-0.056,-0.000
788266245,0.0952,-0.0098,-1.0630,-0.287,-0.178,-0.366
788279245,0.0894,-0.0112,-1.0605,0.018,-0.056,0.122
788292245,0.0908,-0.0117,-1.0596,0.079,-0.117,-0.122
788305245,0.0918,-0.0117,-1.0591,-0.104,0.005,-0.183
788318245,0.0913,-0.0098,-1.0547,-0.104,0.128,-0.061
788331245,0.0933,-0.0137,-1.0562,-0.043,0.128,0.183
788344245,0.0884,-0.0127,-1.0576,0.201,-0.056,0.061
788357245,0.0889,-0.0088,-1.0610,-0.104,0.128,0.183
788370245,0.0913,-0.0098,-1.0503,0.079,-0.056,0.061
788383245,0.0918,-0.0117,-1.0542,0.018,0.005,0.061
788396245,0.0942,-0.0137,-1.0566,0.018,0.189,0.122
788409245,0.0903,-0.0107,-1.0649,0.201,0.128,0.061
788422245,0.0889,-0.0127,-1.0557,-0.104,0.311,0.122
788435245,0.0923,-0.0127,-1.0601,-0.349,0.189,-0.061
788448245,0.0952,-0.0151,-1.0620,0.079,0.189,0.061
788461245,0.0894,-0.0098,-1.0576,0.018,-0.056,-0.061
788474245,0.0884,-0.0103,-1.0566,-0.104,0.005,-0.122
788487245,0.0898,-0.0132,-1.0576,0.140,-0.056,0.122
788500245,0.0952,-0.0112,-1.0562,0.018,0.067,0.061
788513245,0.0908,-0.0103,-1.0552,0.018,0.005,-0.122
788526245,0.0903,-0.0107,-1.0596,0.079,0.189,0.122
788539245,0.0957,-0.0103,-1.0591,0.079,0.005,-0.000
788552245,0.0894,-0.0088,-1.0610,-0.043,0.067,-0.183
788565245,0.0913,-0.0127,-1.0635,0.018,-0.117,0.244
788578245,0.0913,-0.0093,-1.0625,-0.104,0.128,0.366
788591245,0.0933,-0.0146,-1.0596,0.018,0.189,-0.000
788604245,0.0854,-0.0112,-1.0537,-0.104,0.189,0.061
788617245,0.0967,-0.0088,-1.0586,-0.165,-0.117,-0.061
788630245,0.0864,-0.0122,-1.0615,0.140,0.067,-0.000
788643245,0.0928,-0.0156,-1.0576,-0.043,-0.117,0.305
788656245,0.0913,-0.0103,-1.0591,0.079,0.005,-0.122
788669245,0.0903,-0.0132,-1.0601,0.018,-0.117,-0.061
788682245,0.0908,-0.0098,-1.0659,0.323,0.005,0.061
788695245,0.0889,-0.0103,-1.0645,0.018,-0.361,-0.061
788708245,0.0913,-0.0151,-1.0581,0.384,-0.239,-0.000
788721245,0.0903,-0.0122,-1.0532,-0.043,-0.300,-0.000
788734245,0.0894,-0.0078,-1.0649,0.262,-0.117,-0.000
788747245,0.0889,-0.0137,-1.0659,-0.043,-0.239,0.122
788760245,0.0889,-0.0112,-1.0576,0.079,-0.056,-0.000
788773245,0.0908,-0.0073,-1.0576,0.262,0.067,0.122
788786245,0.0879,-0.0107,-1.0488,-0.043,-0.056,-0.183
788799245,0.0898,-0.0112,-1.0596,-0.226,0.067,0.061
788812245,0.0923,-0.0107,-1.0566,0.262,-0.117,-0.183
788825245,0.0908,-0.0093,-1.0552,-0.043,0.067,0.244
788838245,0.0923,-0.0146,-1.0601,0.262,-0.056,0.122
788851245,0.0918,-0.0088,-1.0620,-0.043,-0.178,-0.061
788864245,0.0918,-0.0137,-1.0542,0.079,0.128,-0.000
788877245,0.0947,-0.0127,-1.0581,-0.043,-0.178,0.122
788890245,0.0889,-0.0142,-1.0640,0.018,0.005,0.061
788903245,0.0903,-0.0103,-1.0630,-0.165,0.005,-0.122
788916245,0.0894,-0.0122,-1.0679,0.140,0.067,-0.061
788929245,0.0947,-0.0112,-1.0557,0.140,0.067,0.061
788942245,0.0884,-0.0132,-1.0601,-0.226,0.067,0.244
788955245,0.0952,-0.0117,-1.0503,-0.104,0.067,0.061
788968245,0.0889,-0.0112,-1.0654,-0.287,0.067,0.122
788981245,0.0962,-0.0137,-1.0576,0.323,0.067,0.061
788994245,0.0898,-0.0107,-1.0596,0.201,-0.056,-0.122
789007245,0.0933,-0.0103,-1.0518,0.018,0.005,0.061
789020245,0.0889,-0.0117,-1.0571,0.018,0.005,-0.122
789033245,0.0908,-0.0117,-1.0557,0.079,0.189,-0.122
789046245,0.0908,-0.0088,-1.0557,0.140,-0.178,0.122
789059245,0.0894,-0.0068,-1.0571,0.018,-0.056,-0.183
789072245,0.0928,-0.0156,-1.0566,0.018,-0.056,-0.183
789085245,0.0898,-0.0098,-1.0571,-0.043,0.311,0.183
789098245,0.0952,-0.0103,-1.0537,0.079,0.067,-0.122
